Year,Month,Day,DayOfWeek,Airline,FlightNumber,OriginAirport,DestAirport,SchedDepTime,DepDelay,ArrDelay,Cancelled,Diverted,Distance
2017,6,3,5,AS,5250,ATL,LAX,04:04,40,46,False,False,581
2016,3,14,5,NK,7048,ATL,SFO,13:40,-18,-27,False,False,1602
2016,9,4,6,B6,3513,DFW,JFK,17:59,121,124,False,False,1854
2017,7,23,2,AS,926,ATL,LGA,06:18,136,129,False,False,2141
2016,9,25,4,B6,4102,JFK,DEN,13:22,9,7,False,False,1345
2016,4,27,6,AA,3096,ATL,ATL,03:30,46,55,False,False,1041
2018,12,18,5,F9,9166,LGA,LGA,00:11,106,125,False,False,1885
2015,7,6,7,WN,5569,MIA,JFK,05:12,75,88,False,False,460
2019,2,25,5,DL,4639,SEA,LGA,11:42,21,25,False,False,1460
2015,11,25,6,DL,2392,ORD,ORD,04:57,162,166,False,False,311
2018,6,19,6,F9,930,SEA,DFW,17:48,88,85,True,False,2948
2019,3,13,6,DL,8376,LAX,JFK,03:49,165,176,False,False,1439
2017,2,14,6,AA,8687,DEN,ORD,21:17,87,79,False,False,740
2018,7,26,1,NK,9468,LAX,DFW,06:43,96,89,False,False,1511
2018,12,3,7,DL,3852,SEA,LGA,10:02,13,6,False,False,665
2017,1,28,7,DL,5748,DFW,JFK,17:04,-14,-8,False,False,389
2019,2,3,6,B6,2762,JFK,SFO,13:21,13,21,False,False,1586
2015,2,12,4,WN,5286,ATL,DEN,04:48,114,117,False,False,715
2019,9,15,6,UA,5526,JFK,MIA,23:34,101,99,False,False,1453
2016,6,25,5,B6,5756,ATL,DEN,10:27,-20,-23,False,False,2454
2017,3,5,7,AA,8179,ATL,DFW,19:08,-6,2,False,False,1521
2016,1,20,4,DL,7837,LGA,LGA,13:16,153,155,False,False,730
2018,12,14,7,AS,1925,SFO,SEA,18:51,97,99,False,False,958
2016,3,5,6,B6,5794,SEA,DEN,19:41,36,40,False,False,1518
2018,3,25,1,WN,7693,DEN,LGA,22:11,140,139,False,False,2364
2016,3,9,7,WN,2584,MIA,DFW,21:02,129,119,False,False,2102
2018,9,11,5,AS,8245,DFW,DFW,17:43,96,104,False,False,246
2017,6,2,3,B6,4699,ATL,ORD,00:39,24,33,False,False,1640
2019,6,5,5,AS,5995,JFK,LGA,01:58,57,70,False,False,2497
2017,9,2,7,F9,372,DFW,DFW,00:43,120,123,False,False,636
2016,10,17,6,UA,1797,SEA,JFK,08:14,-9,10,False,False,2362
2016,7,28,7,AA,7810,DFW,SFO,14:12,30,37,False,False,1104
2015,9,7,4,AA,2625,ORD,LGA,00:02,-20,-9,False,False,329
2019,4,25,6,B6,3619,ATL,JFK,16:23,86,102,False,False,2617
2017,10,18,7,NK,9470,MIA,DFW,12:15,155,150,False,False,2445
2016,11,1,6,AA,3652,SFO,ORD,11:58,76,74,False,False,870
2016,11,21,6,AA,8750,DFW,SEA,17:35,68,80,False,False,636
2018,8,15,1,NK,7775,ATL,SEA,11:21,135,137,False,False,650
2016,2,15,2,F9,9143,MIA,LGA,16:35,0,17,False,False,2298
2018,9,18,3,AA,7872,DEN,MIA,19:10,60,69,False,False,863
2017,4,8,1,AA,6792,ATL,ATL,18:57,79,93,False,False,559
2016,5,7,6,F9,9062,SEA,MIA,05:30,168,187,False,False,551
2018,11,16,3,AS,2133,DEN,SEA,11:54,149,162,False,False,1009
2019,2,19,5,NK,6928,LAX,DFW,10:10,91,97,False,False,721
2015,10,4,1,F9,5660,LAX,LGA,08:28,177,186,False,False,1709
2018,8,18,4,AA,1018,DFW,JFK,05:13,74,73,False,False,2301
2018,4,28,7,UA,5275,LGA,MIA,18:28,127,127,False,False,732
2015,1,12,5,NK,4571,DFW,ATL,06:02,94,103,False,False,2032
2018,12,25,7,B6,1224,MIA,DEN,02:08,78,69,False,False,2163
2016,4,23,4,F9,958,MIA,ORD,23:45,66,70,False,False,936
2019,5,15,4,DL,6497,SEA,SFO,08:50,38,52,False,False,465
2018,11,6,4,AS,3874,LAX,DEN,18:25,23,34,False,False,426
2015,9,19,6,DL,8999,LGA,DEN,15:55,43,45,False,False,1500
2016,10,8,2,AA,7595,DFW,SFO,10:21,142,150,False,False,2842
2015,12,23,1,F9,2445,DEN,JFK,13:54,-20,-13,False,False,897
2017,10,22,7,WN,7392,JFK,ORD,20:09,172,182,False,False,1306
2019,8,1,5,AA,6832,ATL,SEA,10:39,162,161,False,False,2813
2015,2,15,7,B6,1266,LGA,JFK,23:44,64,78,False,False,824
2018,11,4,5,F9,2781,LGA,DEN,12:08,121,117,False,False,1350
2017,2,9,4,UA,6046,LAX,DEN,23:38,-17,-2,False,False,2768
2015,5,6,3,UA,8046,DEN,ORD,18:47,-6,-8,False,False,1754
2018,4,25,4,NK,6379,JFK,LGA,15:13,-20,-17,False,False,1208
2017,9,24,2,B6,6198,DFW,SEA,22:38,43,33,False,False,2792
2018,5,11,2,UA,913,ORD,DEN,10:52,148,143,False,False,394
2015,7,7,5,B6,8963,LGA,SFO,05:46,91,91,False,False,2771
2017,1,4,1,DL,6790,SEA,SFO,00:25,-10,-20,False,False,1637
2017,1,6,6,AA,922,MIA,DEN,03:45,157,176,False,False,1907
2016,4,13,2,NK,8660,SFO,DFW,04:15,-6,0,False,False,203
2018,10,6,1,AS,4585,MIA,ORD,22:58,45,41,False,False,2585
2018,5,24,2,DL,1983,DEN,ORD,02:41,161,154,False,False,2946
2015,8,19,5,F9,4257,ORD,LGA,06:27,10,2,False,False,885
2015,7,13,4,NK,4103,ATL,ORD,11:44,163,170,False,False,784
2016,11,24,4,DL,5012,MIA,SEA,11:12,126,133,False,False,1162
2018,1,8,7,AS,4233,ATL,ORD,04:48,143,139,False,False,1678
2016,3,13,4,B6,7028,SEA,SEA,11:59,137,147,False,False,1125
2019,7,24,3,DL,9021,JFK,SFO,16:07,-5,-4,False,False,1948
2019,10,3,7,UA,6351,SEA,ATL,15:13,-1,16,False,False,731
2015,2,4,4,B6,5109,JFK,ATL,18:37,104,95,False,False,1893
2015,12,16,4,WN,2441,LGA,SEA,17:28,104,98,False,False,529
2016,11,7,2,NK,3879,ATL,JFK,17:42,158,171,False,False,1709
2018,8,18,2,AA,6028,ATL,MIA,04:39,0,-7,False,False,527
2018,10,15,5,DL,608,LGA,MIA,16:56,-15,-7,False,False,2942
2019,4,23,1,DL,2059,SFO,SEA,01:40,55,48,False,False,1503
2018,9,26,7,UA,7636,ORD,SEA,08:21,15,10,False,False,1161
2015,4,24,4,F9,3670,ATL,LGA,04:49,116,109,False,False,1338
2016,8,16,6,AS,2474,LAX,LGA,18:08,104,116,False,False,1017
2015,1,16,4,F9,2415,DEN,LGA,10:54,123,113,True,False,1579
2017,1,28,2,UA,9169,ORD,LAX,05:59,-15,-5,True,False,273
2018,7,27,4,AS,1700,SFO,ATL,14:29,112,114,False,False,684
2019,9,13,4,WN,8734,JFK,SEA,23:55,113,123,False,False,2100
2016,10,24,2,DL,4175,SFO,SFO,01:57,83,99,False,False,1897
2017,5,12,5,AA,581,ATL,LGA,13:42,86,82,False,False,452
2017,10,16,6,B6,405,DFW,JFK,22:42,23,22,False,False,654
2015,9,4,7,DL,2243,ORD,ATL,05:01,-1,10,False,True,2069
2016,9,10,7,F9,9820,SFO,DEN,08:11,165,182,False,False,893
2016,8,22,3,AA,9289,JFK,SFO,06:30,115,127,False,False,442
2018,5,16,5,AS,3403,JFK,ATL,13:22,77,70,False,False,1401
2016,6,10,2,WN,5231,SEA,DFW,12:18,140,136,False,False,2173
2015,12,18,1,UA,5991,DEN,SEA,17:01,-19,-18,False,False,1574
2015,6,2,2,NK,8726,LGA,DEN,15:46,10,26,False,False,1489
2017,2,5,5,DL,6547,SEA,ORD,14:04,139,155,False,False,334
2019,8,15,2,F9,1262,ATL,ORD,13:29,78,96,True,False,2366
2017,10,18,5,DL,9984,MIA,DEN,20:03,84,90,False,False,2096
2019,1,14,1,AS,5892,MIA,ORD,14:38,129,130,False,False,1122
2018,1,5,6,WN,6208,ATL,SFO,14:59,121,123,False,False,2130
2018,9,24,7,NK,6605,SFO,LGA,13:13,83,75,False,False,2938
2019,1,27,2,AS,6967,DFW,ATL,03:13,24,18,False,False,826
2019,1,25,1,B6,7182,SEA,DEN,15:38,53,63,False,False,2858
2019,5,24,6,F9,9181,DEN,LGA,16:32,159,158,False,False,956
2019,6,5,7,F9,2848,LAX,ORD,14:46,106,115,False,False,2123
2017,5,4,4,B6,8992,LGA,DEN,08:36,133,134,False,False,2340
2016,9,20,2,B6,7340,LGA,SFO,10:42,173,174,False,False,2659
2016,5,1,5,WN,7339,LGA,ORD,04:54,-4,14,False,False,2427
2019,11,7,1,UA,502,MIA,SEA,12:45,117,122,False,False,611
2016,11,10,7,WN,2614,JFK,JFK,08:11,162,169,False,False,2935
2017,10,9,1,WN,3463,MIA,LAX,08:34,16,18,True,False,2217
2015,7,18,3,AS,5123,ORD,MIA,12:30,36,31,False,False,460
2018,9,1,6,UA,7610,LAX,ORD,21:39,167,158,False,False,284
2015,6,6,3,AA,672,DFW,LAX,15:08,30,26,False,False,1145
2018,11,25,6,DL,7342,LGA,LGA,04:00,124,134,False,True,400
2016,5,3,2,F9,7257,LGA,LAX,00:12,7,4,False,False,2294
2017,7,22,6,AA,8196,DEN,JFK,05:25,172,191,False,False,1813
2016,10,18,1,UA,9576,LGA,ATL,09:55,68,83,False,False,908
2019,9,14,4,AA,4444,LAX,LAX,19:20,84,74,False,False,722
2017,10,19,4,UA,6339,DFW,LGA,05:30,36,37,False,False,374
2019,1,25,1,AS,4301,JFK,DEN,18:05,120,112,False,False,2663
2015,9,24,2,AA,5352,SEA,LGA,09:25,37,52,False,False,1552
2016,9,9,4,UA,4855,DEN,ORD,08:28,79,70,False,False,1775
2015,7,20,6,AA,434,SEA,LAX,20:21,147,161,False,False,746
2019,5,7,1,WN,774,MIA,SEA,03:39,37,30,False,False,801
2019,9,15,2,DL,3043,MIA,LAX,10:48,5,22,False,False,2126
2019,8,12,5,UA,7938,DFW,DEN,00:45,33,23,False,False,2922
2016,7,9,5,AA,9059,LAX,ORD,18:42,8,4,False,False,1622
2016,5,3,3,NK,7247,SEA,ORD,06:06,4,17,False,False,1333
2018,5,24,6,DL,504,LAX,LAX,22:14,76,69,False,False,2182
2016,2,2,7,AS,3166,MIA,ATL,12:26,98,113,False,False,851
2018,12,26,5,WN,5067,DEN,DEN,06:03,84,81,False,False,2188
2018,9,28,6,AS,2417,LAX,SEA,01:56,86,85,False,False,1468
2015,10,3,7,UA,254,JFK,SEA,10:44,55,71,True,False,1624
2015,3,14,4,WN,1928,ATL,LAX,01:27,-11,-19,False,False,2349
2016,3,18,3,B6,593,SFO,LGA,05:01,-10,-9,False,False,553
2018,9,15,2,NK,5980,MIA,DEN,14:08,111,127,False,False,2439
2016,4,19,6,AA,4414,ORD,LAX,20:35,165,157,False,False,2390
2018,5,12,3,F9,8755,JFK,SEA,22:21,72,76,False,False,1696
2015,9,22,1,F9,5656,LGA,JFK,00:05,42,35,False,False,1865
2015,1,3,1,F9,6383,ATL,LGA,21:10,152,143,False,False,2925
2017,7,1,4,F9,537,MIA,DFW,05:27,-10,-17,False,False,2032
2019,6,3,6,NK,3391,JFK,DFW,04:33,-16,-16,False,False,2489
2016,6,23,4,NK,1367,ATL,JFK,00:11,157,159,False,False,1296
2017,3,21,7,WN,250,LGA,DFW,01:06,60,66,True,False,2474
2017,8,19,1,NK,5687,DFW,DEN,21:54,168,165,False,False,1891
2017,5,5,4,AS,5724,JFK,SFO,13:47,19,16,False,False,357
2016,8,11,7,F9,3857,JFK,ATL,04:06,49,51,False,False,2597
2017,1,27,7,WN,8822,MIA,LGA,03:20,12,21,False,False,917
2017,2,4,6,AA,2347,ORD,ATL,01:25,163,180,False,False,2549
2017,8,12,5,B6,6990,LAX,ORD,10:12,-16,-8,False,False,950
2018,6,16,3,UA,1375,ATL,DFW,21:48,35,38,False,False,2975
2016,10,27,5,AS,5904,LAX,DEN,01:25,16,35,False,False,2446
2015,5,12,1,F9,9478,DFW,LGA,17:23,26,33,False,False,1599
2015,6,23,6,B6,2386,DFW,ATL,01:50,31,32,False,False,1642
2016,6,10,6,AS,6166,LGA,MIA,07:27,3,-3,False,False,288
2016,11,15,1,B6,9982,DEN,DFW,07:50,156,146,False,False,1445
2019,4,27,3,AS,2229,SFO,JFK,03:51,117,123,True,False,1986
2016,8,24,3,UA,1241,MIA,ATL,19:56,140,135,False,False,773
2018,7,24,3,F9,4724,MIA,MIA,01:25,117,136,False,False,479
2016,3,17,5,B6,5317,ATL,SEA,04:12,176,195,False,False,1122
2016,5,12,1,F9,2312,JFK,JFK,09:08,-2,7,False,False,2874
2019,9,22,5,AS,4421,SFO,LGA,16:41,56,56,False,True,2827
2015,3,14,7,F9,4199,LAX,SEA,20:08,160,154,False,False,2955
2018,2,17,2,DL,4436,LAX,JFK,02:29,77,94,False,False,1999
2019,1,27,5,DL,9873,LGA,JFK,08:35,29,24,False,False,1385
2017,4,20,2,B6,8203,MIA,ATL,22:46,143,153,False,False,1512
2015,2,1,5,UA,3730,JFK,ATL,14:21,119,119,False,False,288
2018,2,18,6,AS,8012,LGA,MIA,19:26,78,93,True,False,1970
2019,5,27,1,AS,1657,DFW,JFK,17:56,22,41,False,False,2441
2015,12,16,2,UA,9560,DFW,ATL,05:28,110,121,False,False,2545
2015,2,25,6,WN,1823,DFW,SEA,16:56,149,151,True,False,2659
2018,9,5,3,UA,5028,JFK,MIA,11:05,83,84,False,False,2548
2019,9,27,3,DL,9329,DEN,MIA,22:59,-12,-3,False,False,1749
2019,2,23,4,NK,9143,ORD,DEN,19:05,153,154,False,False,1938
2016,5,10,3,F9,2608,SEA,SFO,22:23,9,12,False,False,2799
2019,8,13,2,F9,6332,LGA,MIA,18:14,106,106,False,False,575
2018,11,6,1,AS,1651,MIA,LAX,19:59,103,103,False,False,234
2015,2,23,2,F9,4089,JFK,DEN,08:34,46,44,False,False,509
2016,2,21,5,NK,1214,SFO,LGA,18:09,102,115,False,False,2060
2017,8,19,1,UA,1507,MIA,ATL,16:11,-6,4,False,False,730
2017,2,20,5,NK,601,MIA,ATL,06:39,162,160,False,False,2660
2015,5,19,2,AA,3139,ATL,SFO,02:14,99,104,False,False,2794
2019,7,7,4,B6,5353,DEN,JFK,18:35,131,145,False,False,1108
2015,1,12,5,UA,4195,JFK,MIA,18:20,89,104,False,False,2811
2018,5,1,1,F9,4169,LGA,ORD,03:54,160,152,False,False,2832
2017,10,24,5,UA,6777,LGA,JFK,20:15,156,156,False,False,2607
2018,8,15,6,F9,7027,SEA,ATL,17:41,160,151,False,False,2172
2019,10,17,2,AA,3407,LAX,SEA,06:28,65,55,False,False,2998
2019,6,11,2,WN,3670,LGA,ORD,17:42,40,48,False,False,1208
2017,7,25,2,AA,4901,SEA,ORD,08:17,86,87,False,False,2908
2017,8,15,4,NK,7318,JFK,DFW,21:26,96,112,False,False,2875
2017,2,27,3,DL,966,SEA,MIA,19:48,22,13,False,False,820
2017,2,27,1,F9,1630,SEA,JFK,10:09,161,171,False,False,439
2015,1,23,4,B6,7140,ORD,MIA,01:15,49,61,False,False,2232
2015,1,22,7,AA,1891,MIA,ORD,01:00,-8,6,False,False,551
2018,3,9,3,DL,7031,DEN,LAX,13:19,40,44,False,False,2671
2016,7,27,7,B6,1973,DEN,DFW,17:16,-3,10,False,False,1017
2015,3,28,1,WN,4216,SFO,SEA,16:21,179,179,False,False,1558
2018,1,12,2,WN,5729,LGA,MIA,21:51,107,102,False,False,218
2018,8,7,5,AA,1659,JFK,DEN,09:21,177,181,False,False,833
2019,6,2,4,AA,3386,LAX,LGA,19:14,0,-5,False,False,871
2018,9,10,6,DL,6894,SFO,SEA,16:10,61,72,False,False,1542
2015,1,15,3,WN,1856,DEN,JFK,06:23,102,107,False,False,2413
2018,12,22,4,AA,4937,JFK,ATL,13:23,36,53,False,False,1736
2017,5,25,3,DL,282,SEA,LAX,06:11,2,9,False,False,2956
2017,7,5,1,AS,2684,LAX,LGA,10:55,31,22,False,True,748
2017,1,8,6,AS,6487,ATL,DEN,09:20,120,133,False,False,1839
2016,3,28,2,AS,2801,SEA,SFO,18:26,149,157,False,False,2359
2018,8,4,4,AA,7433,SFO,SFO,01:11,92,83,False,False,2538
2015,2,25,6,NK,2590,LAX,DFW,09:15,76,71,False,False,2705
2015,7,27,7,DL,1223,LAX,DFW,11:01,50,65,False,False,1447
2019,8,18,6,DL,3570,SEA,SEA,04:11,60,56,False,False,2924
2015,4,27,7,UA,6740,DFW,ATL,01:28,89,83,False,False,2851
2015,1,26,7,AS,8100,DEN,ATL,21:31,3,0,False,False,1944
2017,9,9,1,AS,306,JFK,LGA,14:54,139,156,False,False,2170
2017,4,28,6,UA,6413,MIA,MIA,05:21,104,100,False,False,2809
2015,11,7,6,WN,2501,MIA,SEA,06:02,9,22,False,False,2038
2016,1,19,3,F9,6799,SFO,LGA,12:24,96,108,False,False,2387
2016,7,1,6,UA,3104,ORD,ATL,17:24,133,136,False,False,2062
2019,8,11,1,NK,1520,LAX,ORD,15:14,114,116,False,False,1048
2019,1,25,2,F9,7101,SEA,SEA,08:08,178,191,False,False,1992
2016,9,5,1,UA,1288,ORD,DEN,11:43,-19,-17,False,False,569
2015,2,1,2,AA,5737,MIA,SFO,14:52,124,128,False,False,942
2017,2,6,3,F9,7312,DFW,SFO,17:14,83,98,False,False,965
2015,8,25,4,AA,5379,SEA,DEN,03:46,102,112,False,False,2218
2017,8,1,4,AS,639,LAX,DFW,10:04,105,100,False,False,2699
2019,7,19,4,NK,9279,JFK,LAX,09:47,98,107,False,False,1616
2015,2,22,2,WN,1593,ATL,JFK,14:46,124,117,False,False,1366
2017,8,20,7,B6,580,SFO,SFO,08:19,25,38,False,False,1886
2018,12,26,4,AA,8336,JFK,ORD,15:22,96,97,False,False,543
2017,9,10,5,NK,9766,LGA,MIA,19:51,149,151,False,False,2899
2017,3,3,6,B6,111,JFK,JFK,19:33,120,116,False,False,2883
2019,3,17,4,AS,9727,ORD,LGA,15:00,145,148,False,False,2239
2016,12,21,1,UA,8865,LGA,ORD,22:50,114,133,False,False,2292
2016,10,15,1,WN,9430,JFK,LAX,04:13,101,92,False,False,711
2018,6,6,5,DL,3934,ATL,SFO,00:07,122,124,False,False,1761
2017,6,27,3,NK,4802,SEA,MIA,17:22,138,156,False,False,2337
2018,8,17,3,AA,9961,SEA,SFO,00:56,165,162,False,False,2491
2017,2,20,7,WN,804,DFW,LAX,11:47,80,98,False,False,326
2017,12,3,2,AS,5669,LAX,SEA,03:39,150,144,False,False,1293
2018,2,12,7,WN,7656,DFW,LGA,03:56,28,24,False,False,492
2016,10,11,6,UA,4539,SFO,SFO,20:54,64,68,False,False,2697
2015,6,26,2,UA,6169,LAX,DFW,12:56,128,145,False,False,397
2019,4,28,7,WN,4594,LGA,ORD,16:09,116,113,False,False,1500
2019,3,19,5,NK,5193,ATL,SFO,22:28,98,114,False,False,2357
2016,11,11,4,DL,1630,DFW,ORD,11:34,75,79,False,False,1860
2017,11,6,3,NK,5404,JFK,ATL,11:23,136,147,False,False,912
2015,3,5,6,AS,8292,ORD,ATL,15:56,16,16,False,False,1139
2018,7,14,5,WN,5080,DEN,SEA,09:15,59,67,False,False,481
2018,5,27,6,DL,5282,LGA,ORD,11:03,144,161,False,False,602
2015,8,5,4,F9,7241,JFK,SEA,04:11,133,149,True,False,560
2018,8,20,5,WN,2482,DEN,DEN,16:10,166,166,False,False,2568
2017,5,6,3,UA,8219,LGA,ATL,00:10,88,101,False,False,444
2017,11,7,5,AS,1921,DEN,SEA,10:11,87,77,False,False,1108
2016,6,11,5,NK,8781,ATL,MIA,14:51,163,170,False,False,217
2018,12,13,4,F9,8466,JFK,ATL,21:29,46,42,False,False,1819
2017,2,15,6,NK,6329,JFK,DFW,09:05,38,43,False,False,1217
2019,11,8,1,DL,3434,LGA,ATL,01:49,11,29,False,False,477
2016,9,17,2,DL,9218,DEN,ORD,03:19,93,111,False,False,1573
2017,3,21,5,NK,6839,DEN,LGA,23:54,87,78,False,False,2844
2019,11,15,5,AS,504,DEN,LGA,14:40,101,104,False,False,1634
2017,11,1,3,F9,4584,LAX,ORD,07:55,56,47,False,False,509
2017,3,19,1,DL,8942,JFK,DEN,20:55,13,26,False,False,2642
2019,8,1,2,UA,3689,JFK,DEN,01:46,145,163,False,False,1982
2017,1,18,2,DL,9860,LAX,SFO,08:48,130,144,False,False,1161
2018,10,17,6,WN,4596,SEA,DFW,04:23,147,161,False,False,345
2016,8,10,3,AA,6046,SFO,DEN,15:00,99,93,False,False,2982
2016,7,5,7,B6,5577,LGA,JFK,16:39,175,184,False,False,1051
2018,9,20,4,B6,1044,SEA,DFW,13:17,25,32,False,False,2988
2019,1,14,2,DL,1714,SFO,DFW,08:08,-20,-2,False,False,469
2017,9,19,1,UA,4263,DFW,ORD,12:06,4,11,False,False,2499
2019,12,19,6,AS,625,DFW,SEA,15:06,114,109,False,False,2179
2019,8,12,6,F9,4400,SFO,ATL,08:44,73,81,False,False,2827
2018,9,7,3,WN,8643,LAX,LGA,16:27,173,168,False,False,2435
2019,9,18,2,B6,5253,SFO,LAX,13:56,174,165,False,False,2976
2019,5,26,7,DL,4644,DEN,DEN,04:25,119,117,False,False,2530
2018,10,28,7,AS,143,LAX,ORD,15:48,39,52,False,False,2527
2018,9,8,6,AA,7082,LGA,DFW,13:00,71,74,False,False,2516
2018,10,11,2,DL,6220,SFO,SEA,03:57,117,122,False,False,1706
2016,10,25,6,B6,1667,JFK,DFW,13:15,19,18,False,False,725
2018,10,22,4,B6,7599,LGA,LGA,04:17,102,109,False,False,2528
2015,12,21,3,WN,6441,SFO,SFO,15:51,19,12,False,False,772
2016,10,14,4,WN,6986,LAX,ORD,22:14,0,-8,False,False,2309
2016,1,5,1,AS,9872,ORD,SFO,17:16,129,138,False,False,1503
2018,4,26,2,DL,9551,LGA,ORD,19:44,82,87,False,False,788
2017,5,23,5,F9,3284,ORD,DEN,00:29,129,147,False,False,1876
2016,10,7,5,UA,5104,DEN,DEN,06:15,-15,-9,True,False,1476
2019,8,28,2,AA,5924,MIA,DEN,04:41,-14,-17,True,False,839
2017,1,25,3,AA,7276,ATL,JFK,08:03,65,84,False,False,302
2017,7,27,3,AS,2095,LGA,DFW,03:33,163,175,False,False,494
2018,4,24,2,AA,6830,ATL,SFO,21:53,31,30,False,False,1255
2018,1,24,4,F9,7850,LAX,SEA,05:29,88,96,False,False,2830
2017,2,11,4,WN,7367,SFO,LGA,10:49,16,31,False,False,551
2016,3,28,3,UA,793,LAX,DFW,04:21,17,17,False,False,2893
2016,3,16,6,DL,5848,DEN,LAX,06:40,50,40,False,False,399
2019,3,2,6,F9,3787,JFK,JFK,19:06,-19,-24,False,False,439
2017,11,28,4,NK,5237,ORD,DFW,15:17,134,124,False,False,2373
2019,5,10,1,NK,1756,DFW,MIA,07:35,87,80,False,False,1380
2015,1,17,1,F9,6549,SEA,LGA,20:31,-4,-5,False,False,2463
2016,2,19,6,AS,5314,LGA,SFO,03:35,53,68,False,False,1728
2016,10,20,6,AA,9777,MIA,MIA,23:51,66,79,False,False,2789
2015,3,24,3,B6,677,JFK,SFO,17:54,152,154,False,False,2209
2015,12,18,7,WN,1489,SFO,LGA,07:28,130,131,False,False,2430
2018,5,13,3,NK,1456,DFW,ORD,14:53,150,147,True,False,953
2016,6,13,2,WN,7545,ATL,DEN,18:03,176,169,False,False,734
2015,11,11,5,NK,7095,JFK,LAX,01:20,46,64,False,False,629
2015,2,11,7,F9,4822,JFK,SFO,21:13,114,120,False,False,552
2017,9,9,5,DL,2918,DEN,LAX,19:16,10,5,False,False,1231
2015,9,3,1,B6,1562,LGA,LGA,16:24,54,70,False,False,319
2015,7,17,1,B6,8886,JFK,DEN,17:33,93,98,False,False,1400
2018,7,8,1,WN,2778,LAX,SFO,10:59,-14,-18,False,False,1765
2016,7,9,3,WN,2676,DEN,SEA,09:40,118,135,False,False,763
2016,2,5,5,WN,1873,DEN,LAX,21:55,145,150,False,False,699
2017,1,9,5,AS,4505,MIA,MIA,22:34,53,43,False,False,320
2018,9,2,6,B6,9216,MIA,LGA,14:42,157,166,False,False,1671
2016,3,22,6,NK,2096,SEA,DEN,06:48,109,102,False,False,1568
2017,7,19,7,NK,9692,SFO,SFO,08:54,67,71,False,False,2368
2018,4,23,4,UA,6841,JFK,MIA,04:28,15,14,False,False,1405
2018,4,1,5,WN,8078,MIA,DFW,00:59,27,19,False,False,2415
2017,11,11,1,B6,9765,SFO,LAX,12:24,8,23,False,False,2667
2016,10,13,6,UA,3794,SEA,ORD,21:03,156,152,False,False,1651
2018,1,20,2,B6,9059,JFK,ORD,14:10,171,164,False,False,2449
2017,9,27,7,AA,6927,SFO,ORD,05:14,28,21,False,False,1583
2018,5,8,2,AA,8134,ORD,LAX,23:06,127,135,False,False,1563
2015,11,1,6,UA,5950,SFO,SEA,05:55,24,37,False,False,2393
2019,7,21,1,B6,4822,SFO,SEA,17:53,149,146,False,False,2238
